ParticipantID,Platform,Speed_ms,ResponseTime_s,Satisfaction_1to5,Usability_1to5,Efficiency_s,ErrorRate,DataConsumption
1,Android,120,1.2,5,4.5,45,0,32.46
2,Android,115,1.1,4,4.0,50,1,30.24
3,Android,125,1.3,5,4.8,42,0,32.99
4,Android,118,1.2,4,4.2,48,0,36.05
5,Android,122,1.4,5,4.6,44,0,29.9
6,Android,110,1.0,5,4.9,40,0,29.9
7,Android,130,1.5,4,4.1,55,1,36.25
8,Android,128,1.4,5,4.7,43,0,33.41
9,Android,116,1.2,4,4.3,47,0,29.08
10,Android,121,1.3,5,4.5,45,0,32.62
11,Android,119,1.1,5,4.6,42,0,29.1
12,Android,124,1.4,4,4.0,52,1,29.09
13,Android,127,1.3,5,4.8,41,0,31.57
14,Android,115,1.2,5,4.7,44,0,24.03
15,Android,123,1.3,4,4.2,49,1,24.69
16,Android,112,1.1,5,4.8,41,0,28.75
17,Android,135,1.6,4,3.9,58,2,27.18
18,Android,118,1.2,5,4.4,46,0,31.82
19,Android,126,1.4,5,4.6,44,0,27.54
20,Android,114,1.1,4,4.3,48,0,25.78
21,Android,120,1.3,5,4.5,45,0,35.85
22,Android,122,1.4,4,4.2,50,1,29.93
23,Android,117,1.2,5,4.7,43,0,30.96
24,Android,125,1.3,5,4.8,42,0,25.74
25,Android,119,1.1,5,4.6,44,0,28.82
26,Web,250,2.5,4,3.8,65,1,29.19
27,Web,265,2.8,3,3.5,72,2,25.41
28,Web,245,2.4,4,4.0,60,1,29.99
29,Web,270,3.0,3,3.2,75,2,27.06
30,Web,255,2.6,4,3.7,68,1,27.99
31,Web,280,3.2,3,3.0,80,3,27.06
32,Web,240,2.3,4,4.1,58,1,34.42
33,Web,260,2.7,4,3.9,70,2,28.82
34,Web,275,2.9,3,3.3,73,2,25.69
35,Web,248,2.5,4,3.8,66,1,31.33
36,Web,252,2.6,4,4.0,64,1,25.2
37,Web,268,2.8,3,3.4,74,2,29.49
38,Web,258,2.7,4,3.6,69,1,22.98
39,Web,272,3.1,3,3.1,78,3,24.88
40,Web,246,2.4,4,3.9,62,1,29.45
41,Web,255,2.6,4,3.7,67,1,31.08
42,Web,263,2.8,3,3.5,71,2,29.38
43,Web,242,2.3,4,4.1,59,1,28.52
44,Web,278,3.2,3,2.9,82,3,27.96
45,Web,250,2.5,4,3.8,66,1,24.43
46,Web,260,2.7,4,3.9,68,1,26.7
47,Web,254,2.6,4,4.0,65,1,27.48
48,Web,266,2.8,3,3.4,73,2,32.03
49,Web,244,2.4,4,4.2,60,1,29.89
50,Web,274,3.1,3,3.2,79,3,23.57
